08:59:57,-,-,0,31.1500_31.2000_31.3000_31.3500_31.4000_,11_7_7_15_23_,31.1000_31.0500_31.0000_30.9500_30.9000_,18_135_93_21_13_
09:00:55,-,-,1278,34.0000_34.0500_34.1000_34.1500_34.2000_,41_24_7_2_26_,33.7500_33.1000_33.0000_32.8000_32.5000_,6_103_5_15_11_
09:00:55,-,-,1278,34.0000_34.0500_34.1000_34.1500_34.2000_,41_24_7_2_26_,33.7500_33.1000_33.0000_32.8000_32.5000_,6_103_5_15_11_
09:02:56,-,-,2282,31.7500_31.8500_31.9000_31.9500_32.0000_,7_7_2_18_7_,31.6500_31.5000_31.4500_31.4000_31.3500_,1_6_4_4_1_
09:03:56,31.7000,1,3376,31.7500_31.8000_31.8500_31.9000_31.9500_,10_10_4_27_8_,31.5500_31.5000_31.4500_31.4000_31.3500_,10_64_5_21_15_
09:04:51,-,-,3966,31.4000_31.4500_31.5000_31.5500_31.6000_,4_2_28_34_9_,31.3000_31.2500_31.2000_31.1500_31.1000_,1_15_27_28_67_
09:04:51,-,-,3966,31.4000_31.4500_31.5000_31.5500_31.6000_,4_2_28_34_9_,31.3000_31.2500_31.2000_31.1500_31.1000_,1_15_27_28_67_
09:06:56,-,-,4664,31.4000_31.4500_31.5000_31.5500_31.6000_,9_30_49_39_4_,31.3000_31.2500_31.2000_31.1500_31.1000_,12_12_43_10_45_
09:07:56,-,-,4855,31.4500_31.5000_31.5500_31.6000_31.6500_,29_42_9_4_20_,31.4000_31.3500_31.3000_31.2500_31.2000_,21_49_43_68_55_
09:08:56,-,-,5113,31.7500_31.8000_31.8500_31.9000_31.9500_,13_21_7_53_22_,31.7000_31.6500_31.6000_31.5500_31.5000_,19_7_19_35_28_
09:08:56,-,-,5113,31.7500_31.8000_31.8500_31.9000_31.9500_,13_21_7_53_22_,31.7000_31.6500_31.6000_31.5500_31.5000_,19_7_19_35_28_
09:10:56,-,-,5485,31.4500_31.5000_31.5500_31.6000_31.6500_,11_1_28_120_19_,31.4000_31.3500_31.3000_31.2500_31.2000_,17_7_51_16_67_
09:10:56,-,-,5485,31.4500_31.5000_31.5500_31.6000_31.6500_,11_1_28_120_19_,31.4000_31.3500_31.3000_31.2500_31.2000_,17_7_51_16_67_
09:12:56,-,-,6085,31.6500_31.7000_31.7500_31.8000_31.8500_,2_24_2_24_3_,31.6000_31.5500_31.5000_31.4500_31.4000_,19_6_8_6_21_
09:12:56,-,-,6085,31.6500_31.7000_31.7500_31.8000_31.8500_,2_24_2_24_3_,31.6000_31.5500_31.5000_31.4500_31.4000_,19_6_8_6_21_
09:14:51,-,-,6313,31.5000_31.6000_31.6500_31.7000_31.7500_,7_32_37_11_19_,31.4500_31.4000_31.3500_31.3000_31.2500_,3_26_24_54_30_
09:14:51,-,-,6313,31.5000_31.6000_31.6500_31.7000_31.7500_,7_32_37_11_19_,31.4500_31.4000_31.3500_31.3000_31.2500_,3_26_24_54_30_
09:16:56,-,-,6520,31.4500_31.5500_31.6000_31.6500_31.7000_,12_1_34_12_10_,31.4000_31.3500_31.3000_31.2500_31.2000_,41_41_58_34_129_
09:17:51,-,-,6637,31.6500_31.7000_31.7500_31.8000_31.8500_,19_11_24_50_34_,31.6000_31.5500_31.5000_31.4500_31.4000_,7_9_1_16_35_
09:18:56,-,-,6734,31.4000_31.4500_31.5000_31.5500_31.6000_,13_18_8_29_11_,31.3500_31.3000_31.2500_31.2000_31.1500_,35_56_33_84_50_
09:19:56,-,-,6827,31.4000_31.4500_31.5000_31.5500_31.6000_,3_20_16_31_9_,31.3500_31.3000_31.2500_31.2000_31.1500_,21_63_45_87_50_
09:20:54,-,-,6918,31.4500_31.5000_31.5500_31.6000_31.6500_,15_17_32_8_22_,31.3500_31.3000_31.2500_31.2000_31.1500_,28_77_42_86_47_
09:21:56,-,-,6985,31.4500_31.5000_31.5500_31.6000_31.6500_,11_17_3_6_26_,31.4000_31.3500_31.3000_31.2500_31.2000_,18_25_94_45_94_
09:22:51,-,-,7413,32.1000_32.1500_32.2000_32.2500_32.3000_,11_19_48_44_46_,32.0500_32.0000_31.9500_31.9000_31.8500_,9_28_17_11_19_
09:23:56,-,-,7676,31.9500_32.0000_32.0500_32.1000_32.1500_,29_84_45_24_64_,31.9000_31.8500_31.8000_31.7500_31.7000_,18_8_5_6_14_
09:24:56,-,-,8323,32.3000_32.3500_32.4000_32.4500_32.5000_,3_16_52_56_106_,32.2000_32.1500_32.1000_32.0500_32.0000_,52_42_29_17_29_
09:25:56,-,-,8918,32.2000_32.2500_32.3000_32.3500_32.4000_,1_23_27_55_56_,32.1500_32.1000_32.0500_32.0000_31.9500_,24_30_22_44_39_
09:25:56,-,-,8918,32.2000_32.2500_32.3000_32.3500_32.4000_,1_23_27_55_56_,32.1500_32.1000_32.0500_32.0000_31.9500_,24_30_22_44_39_
09:26:56,-,-,9205,32.0500_32.1000_32.1500_32.2000_32.2500_,11_22_5_51_3_,32.0000_31.9500_31.9000_31.8500_31.8000_,59_18_67_24_35_
09:28:56,-,-,9485,32.2000_32.2500_32.3000_32.3500_32.4000_,27_18_47_53_88_,32.1000_32.0500_32.0000_31.9500_31.9000_,1_62_63_26_85_
09:29:56,-,-,9656,32.2000_32.2500_32.3000_32.3500_32.4000_,19_19_50_68_83_,32.1500_32.1000_32.0500_32.0000_31.9500_,5_16_36_74_29_
09:30:56,-,-,9953,32.2500_32.3000_32.3500_32.4000_32.4500_,4_56_68_84_118_,32.2000_32.1500_32.1000_32.0500_32.0000_,7_8_73_35_83_
09:30:56,-,-,9953,32.2500_32.3000_32.3500_32.4000_32.4500_,4_56_68_84_118_,32.2000_32.1500_32.1000_32.0500_32.0000_,7_8_73_35_83_
