08:59:56,-,-,0,19.7000_19.7500_19.8000_19.8500_19.9000_,381_96_430_10_16_,19.6500_19.6000_19.5500_19.5000_19.4500_,104_172_190_865_122_
09:00:55,-,-,1362,19.8500_19.9000_19.9500_20.0000_20.0500_,29_67_32_429_384_,19.8000_19.7500_19.7000_19.6500_19.6000_,62_208_194_208_935_
09:00:55,-,-,1362,19.8500_19.9000_19.9500_20.0000_20.0500_,29_67_32_429_384_,19.8000_19.7500_19.7000_19.6500_19.6000_,62_208_194_208_935_
09:02:56,-,-,2207,19.9000_19.9500_20.0000_20.0500_20.1000_,71_192_646_538_766_,19.8500_19.8000_19.7500_19.7000_19.6500_,56_374_225_114_280_
09:03:56,-,-,2230,19.9000_19.9500_20.0000_20.0500_20.1000_,149_206_656_560_769_,19.8500_19.8000_19.7500_19.7000_19.6500_,71_367_232_132_306_
09:04:56,-,-,2290,19.9000_19.9500_20.0000_20.0500_20.1000_,108_480_684_609_821_,19.8500_19.8000_19.7500_19.7000_19.6500_,52_383_242_161_310_
09:04:56,-,-,2290,19.9000_19.9500_20.0000_20.0500_20.1000_,108_480_684_609_821_,19.8500_19.8000_19.7500_19.7000_19.6500_,52_383_242_161_310_
09:06:55,-,-,2633,19.8500_19.9000_19.9500_20.0000_20.0500_,6_378_439_689_609_,19.8000_19.7500_19.7000_19.6500_19.6000_,292_435_476_338_381_
09:07:56,-,-,2946,19.8500_19.9000_19.9500_20.0000_20.0500_,48_882_334_719_609_,19.8000_19.7500_19.7000_19.6500_19.6000_,355_421_478_352_377_
09:08:51,-,-,3014,19.8500_19.9000_19.9500_20.0000_20.0500_,627_874_338_733_609_,19.8000_19.7500_19.7000_19.6500_19.6000_,128_230_402_662_379_
09:08:51,-,-,3014,19.8500_19.9000_19.9500_20.0000_20.0500_,627_874_338_733_609_,19.8000_19.7500_19.7000_19.6500_19.6000_,128_230_402_662_379_
09:10:56,-,-,3293,19.8500_19.9000_19.9500_20.0000_20.0500_,636_862_324_737_615_,19.8000_19.7500_19.7000_19.6500_19.6000_,191_232_410_638_399_
09:10:56,-,-,3293,19.8500_19.9000_19.9500_20.0000_20.0500_,636_862_324_737_615_,19.8000_19.7500_19.7000_19.6500_19.6000_,191_232_410_638_399_
09:12:50,-,-,3394,19.8500_19.9000_19.9500_20.0000_20.0500_,626_863_368_772_620_,19.8000_19.7500_19.7000_19.6500_19.6000_,56_234_413_644_420_
09:12:50,-,-,3394,19.8500_19.9000_19.9500_20.0000_20.0500_,626_863_368_772_620_,19.8000_19.7500_19.7000_19.6500_19.6000_,56_234_413_644_420_
09:14:56,-,-,3492,19.8500_19.9000_19.9500_20.0000_20.0500_,693_870_371_775_620_,19.8000_19.7500_19.7000_19.6500_19.6000_,46_237_427_650_456_
