08:59:58,-,-,0,25.0500_25.1000_25.2500_25.3000_25.4000_,6_4_5_8_9_,25.0000_24.9000_24.8000_24.7500_24.7000_,8_4_8_7_18_
09:00:57,-,-,261,25.2500_25.3000_25.3500_25.4000_25.4500_,5_20_1_4_2_,25.1000_25.0500_25.0000_24.9500_24.9000_,12_9_9_5_18_
09:00:57,-,-,261,25.2500_25.3000_25.3500_25.4000_25.4500_,5_20_1_4_2_,25.1000_25.0500_25.0000_24.9500_24.9000_,12_9_9_5_18_
09:02:52,-,-,373,25.2000_25.2500_25.3000_25.3500_25.4000_,2_7_9_4_7_,25.1500_25.1000_25.0500_25.0000_24.9500_,1_7_5_13_4_
09:03:51,-,-,440,25.1500_25.2000_25.2500_25.3000_25.3500_,5_5_7_9_5_,25.1000_25.0500_25.0000_24.9500_24.9000_,3_8_20_8_19_
09:04:56,-,-,473,25.1000_25.1500_25.2000_25.2500_25.3000_,2_4_5_8_9_,25.0500_25.0000_24.9500_24.9000_24.8500_,46_20_16_19_7_
09:04:56,-,-,473,25.1000_25.1500_25.2000_25.2500_25.3000_,2_4_5_8_9_,25.0500_25.0000_24.9500_24.9000_24.8500_,46_20_16_19_7_
09:06:56,-,-,613,24.9500_25.0000_25.0500_25.1000_25.1500_,2_1_7_6_4_,24.9000_24.8500_24.8000_24.7500_24.7000_,22_2_18_10_20_
09:07:52,-,-,698,24.8500_24.9000_24.9500_25.0000_25.0500_,2_11_21_3_4_,24.8000_24.7500_24.7000_24.6500_24.6000_,4_3_17_9_12_
09:08:50,-,-,743,24.9500_25.0000_25.0500_25.1000_25.1500_,19_10_12_5_4_,24.9000_24.8500_24.8000_24.7500_24.7000_,2_17_7_7_17_
09:08:50,-,-,743,24.9500_25.0000_25.0500_25.1000_25.1500_,19_10_12_5_4_,24.9000_24.8500_24.8000_24.7500_24.7000_,2_17_7_7_17_
09:10:54,-,-,829,24.9500_25.0000_25.0500_25.1000_25.1500_,26_9_12_6_4_,24.8000_24.7500_24.7000_24.6500_24.6000_,8_11_22_14_19_
09:10:54,-,-,829,24.9500_25.0000_25.0500_25.1000_25.1500_,26_9_12_6_4_,24.8000_24.7500_24.7000_24.6500_24.6000_,8_11_22_14_19_
09:12:51,-,-,934,25.0000_25.0500_25.1000_25.1500_25.2000_,15_9_4_5_11_,24.9500_24.9000_24.8500_24.8000_24.7500_,16_6_10_14_21_
09:12:51,-,-,934,25.0000_25.0500_25.1000_25.1500_25.2000_,15_9_4_5_11_,24.9500_24.9000_24.8500_24.8000_24.7500_,16_6_10_14_21_
09:14:53,-,-,999,25.0500_25.1000_25.1500_25.2000_25.2500_,10_4_7_10_8_,25.0000_24.9500_24.9000_24.8500_24.8000_,31_19_17_5_14_
09:14:53,-,-,999,25.0500_25.1000_25.1500_25.2000_25.2500_,10_4_7_10_8_,25.0000_24.9500_24.9000_24.8500_24.8000_,31_19_17_5_14_
09:16:45,-,-,1063,25.1000_25.1500_25.2000_25.2500_25.3000_,19_3_16_8_5_,25.0500_25.0000_24.9500_24.9000_24.8500_,6_19_20_25_7_
09:17:56,-,-,1097,25.1000_25.1500_25.2000_25.2500_25.3000_,2_4_16_8_6_,25.0500_25.0000_24.9500_24.9000_24.8500_,4_21_20_23_8_
09:18:42,-,-,1121,25.0500_25.1000_25.1500_25.2000_25.2500_,5_10_17_16_7_,25.0000_24.9500_24.9000_24.8500_24.8000_,19_10_23_8_16_
09:19:57,-,-,1163,25.0000_25.0500_25.1000_25.1500_25.2000_,5_5_11_12_16_,24.9500_24.9000_24.8500_24.8000_24.7500_,2_26_6_19_20_
09:20:56,-,-,1180,25.0000_25.0500_25.1000_25.1500_25.2000_,2_5_15_12_16_,24.9500_24.9000_24.8500_24.8000_24.7500_,1_24_8_18_35_
09:21:52,-,-,1193,25.0500_25.1000_25.1500_25.2000_25.2500_,4_11_9_17_9_,25.0000_24.9500_24.9000_24.8500_24.8000_,2_8_21_8_17_
09:22:43,-,-,1206,25.0000_25.0500_25.1000_25.1500_25.2000_,23_12_15_19_16_,24.9500_24.9000_24.8500_24.8000_24.7500_,6_20_8_17_35_
09:23:47,-,-,1212,25.0000_25.0500_25.1000_25.1500_25.2000_,22_13_15_19_17_,24.9500_24.9000_24.8500_24.8000_24.7500_,13_20_8_19_35_
09:24:57,24.9500,4,1217,25.0000_25.0500_25.1000_25.1500_25.2000_,23_14_16_20_17_,24.9500_24.9000_24.8500_24.8000_24.7500_,7_31_8_19_35_
09:25:53,-,-,1237,24.9500_25.0000_25.0500_25.1000_25.1500_,9_19_15_18_22_,24.9000_24.8500_24.8000_24.7500_24.7000_,21_3_18_37_31_
09:25:53,-,-,1237,24.9500_25.0000_25.0500_25.1000_25.1500_,9_19_15_18_22_,24.9000_24.8500_24.8000_24.7500_24.7000_,21_3_18_37_31_
09:26:56,-,-,1273,24.8500_24.9000_24.9500_25.0000_25.0500_,3_10_9_23_15_,24.8000_24.7500_24.7000_24.6500_24.6000_,9_45_31_5_16_
09:28:52,-,-,1307,24.9500_25.0000_25.0500_25.1000_25.1500_,6_27_17_14_23_,24.9000_24.8500_24.8000_24.7500_24.7000_,17_31_14_46_32_
09:29:53,-,-,1357,25.1000_25.1500_25.2000_25.2500_25.3000_,10_19_22_11_8_,25.0000_24.9500_24.9000_24.8500_24.8000_,28_3_7_20_17_
09:30:53,-,-,1364,25.0500_25.1000_25.1500_25.2000_25.2500_,25_11_19_20_11_,25.0000_24.9500_24.9000_24.8500_24.8000_,28_1_7_20_15_
09:30:53,-,-,1364,25.0500_25.1000_25.1500_25.2000_25.2500_,25_11_19_20_11_,25.0000_24.9500_24.9000_24.8500_24.8000_,28_1_7_20_15_
09:32:57,-,-,1479,25.4000_25.4500_25.5000_25.5500_25.6000_,38_8_48_3_8_,25.3000_25.2500_25.2000_25.1500_25.1000_,32_5_16_33_5_
09:33:55,-,-,1544,25.2500_25.3000_25.3500_25.4000_25.4500_,2_3_8_36_11_,25.2000_25.1500_25.1000_25.0500_25.0000_,6_2_19_11_22_
09:34:57,-,-,1550,25.2500_25.3000_25.3500_25.4000_25.4500_,10_9_9_5_15_,25.2000_25.1500_25.1000_25.0500_25.0000_,5_3_10_10_34_
09:34:57,-,-,1550,25.2500_25.3000_25.3500_25.4000_25.4500_,10_9_9_5_15_,25.2000_25.1500_25.1000_25.0500_25.0000_,5_3_10_10_34_
09:36:57,-,-,1582,25.2000_25.2500_25.3000_25.3500_25.4000_,6_3_12_10_12_,25.1500_25.1000_25.0500_25.0000_24.9500_,16_20_11_33_6_
09:36:57,-,-,1582,25.2000_25.2500_25.3000_25.3500_25.4000_,6_3_12_10_12_,25.1500_25.1000_25.0500_25.0000_24.9500_,16_20_11_33_6_
09:37:53,-,-,1589,25.2000_25.2500_25.3000_25.3500_25.4000_,6_3_11_10_10_,25.1500_25.1000_25.0500_25.0000_24.9500_,20_16_10_33_6_
