08:59:59,-,-,0,57.0000_57.1000_57.2000_57.3000_57.4000_,60_6_20_7_58_,56.9000_56.8000_56.7000_56.6000_56.5000_,89_191_143_132_321_
09:00:55,-,-,1462,57.9000_58.0000_58.1000_58.2000_58.3000_,15_41_14_157_157_,57.7000_57.6000_57.5000_57.4000_57.3000_,7_29_83_95_85_
09:00:55,-,-,1462,57.9000_58.0000_58.1000_58.2000_58.3000_,15_41_14_157_157_,57.7000_57.6000_57.5000_57.4000_57.3000_,7_29_83_95_85_
09:02:55,-,-,2196,58.1000_58.2000_58.3000_58.4000_58.5000_,1_52_29_175_97_,58.0000_57.9000_57.8000_57.7000_57.6000_,85_46_56_85_112_
09:03:55,-,-,2380,58.0000_58.1000_58.2000_58.3000_58.4000_,34_36_67_22_16_,57.9000_57.8000_57.7000_57.6000_57.5000_,21_11_18_80_106_
09:04:55,-,-,2642,57.8000_57.9000_58.0000_58.1000_58.2000_,18_41_130_89_96_,57.7000_57.6000_57.5000_57.4000_57.3000_,10_19_77_102_100_
09:04:55,-,-,2642,57.8000_57.9000_58.0000_58.1000_58.2000_,18_41_130_89_96_,57.7000_57.6000_57.5000_57.4000_57.3000_,10_19_77_102_100_
09:06:55,-,-,2812,57.9000_58.0000_58.1000_58.2000_58.3000_,42_109_109_117_35_,57.8000_57.7000_57.6000_57.5000_57.4000_,23_46_63_113_368_
09:07:55,-,-,2897,57.8000_57.9000_58.0000_58.1000_58.2000_,83_90_161_77_102_,57.7000_57.6000_57.5000_57.4000_57.3000_,32_29_94_205_383_
09:08:55,-,-,3025,57.7000_57.8000_57.9000_58.0000_58.1000_,94_69_110_108_67_,57.6000_57.5000_57.4000_57.3000_57.2000_,2_66_146_151_391_
09:08:55,-,-,3025,57.7000_57.8000_57.9000_58.0000_58.1000_,94_69_110_108_67_,57.6000_57.5000_57.4000_57.3000_57.2000_,2_66_146_151_391_
09:10:55,-,-,3406,57.9000_58.0000_58.1000_58.2000_58.3000_,27_131_55_131_40_,57.8000_57.7000_57.6000_57.5000_57.4000_,13_113_100_188_405_
09:10:55,-,-,3406,57.9000_58.0000_58.1000_58.2000_58.3000_,27_131_55_131_40_,57.8000_57.7000_57.6000_57.5000_57.4000_,13_113_100_188_405_
09:12:54,57.9000,1,3495,58.0000_58.1000_58.2000_58.3000_58.4000_,159_59_112_82_36_,57.9000_57.8000_57.7000_57.6000_57.5000_,16_31_127_128_206_
09:12:54,57.9000,1,3495,58.0000_58.1000_58.2000_58.3000_58.4000_,159_59_112_82_36_,57.9000_57.8000_57.7000_57.6000_57.5000_,16_31_127_128_206_
09:14:54,-,-,3734,57.8000_57.9000_58.0000_58.1000_58.2000_,6_25_167_110_98_,57.7000_57.6000_57.5000_57.4000_57.3000_,69_125_246_420_287_
09:14:54,-,-,3734,57.8000_57.9000_58.0000_58.1000_58.2000_,6_25_167_110_98_,57.7000_57.6000_57.5000_57.4000_57.3000_,69_125_246_420_287_
09:16:50,-,-,3837,57.8000_57.9000_58.0000_58.1000_58.2000_,35_55_203_104_79_,57.7000_57.6000_57.5000_57.4000_57.3000_,35_62_283_225_571_
09:17:50,-,-,3902,57.7000_57.8000_57.9000_58.0000_58.1000_,42_41_93_181_108_,57.6000_57.5000_57.4000_57.3000_57.2000_,42_234_239_157_472_
09:18:55,-,-,4413,57.7000_57.8000_57.9000_58.0000_58.1000_,24_53_93_176_240_,57.5000_57.4000_57.3000_57.2000_57.1000_,86_125_155_237_527_
09:19:55,-,-,4531,57.8000_57.9000_58.0000_58.1000_58.2000_,30_100_218_120_236_,57.6000_57.5000_57.4000_57.3000_57.2000_,76_154_171_169_516_
09:20:55,-,-,4974,57.8000_57.9000_58.0000_58.1000_58.2000_,36_97_299_110_249_,57.6000_57.5000_57.4000_57.3000_57.2000_,72_123_179_179_512_
09:21:54,-,-,5359,58.0000_58.1000_58.2000_58.3000_58.4000_,242_116_115_88_214_,57.8000_57.7000_57.6000_57.5000_57.4000_,136_92_138_149_439_
09:22:55,-,-,5448,58.0000_58.1000_58.2000_58.3000_58.4000_,169_144_101_101_216_,57.9000_57.8000_57.7000_57.6000_57.5000_,58_109_135_127_145_
09:23:55,-,-,5966,58.2000_58.3000_58.4000_58.5000_58.6000_,56_59_76_164_176_,58.1000_58.0000_57.9000_57.8000_57.7000_,15_126_114_172_117_
09:24:54,-,-,6036,58.2000_58.3000_58.4000_58.5000_58.6000_,264_64_80_132_177_,58.1000_58.0000_57.9000_57.8000_57.7000_,16_121_118_193_122_
09:26:00,58.1000,1,6123,58.2000_58.3000_58.4000_58.5000_58.6000_,254_85_69_191_183_,58.1000_58.0000_57.9000_57.8000_57.7000_,17_98_123_149_136_
09:26:00,58.1000,1,6123,58.2000_58.3000_58.4000_58.5000_58.6000_,254_85_69_191_183_,58.1000_58.0000_57.9000_57.8000_57.7000_,17_98_123_149_136_
09:26:55,-,-,6486,58.4000_58.5000_58.6000_58.7000_58.8000_,71_176_79_43_224_,58.3000_58.2000_58.1000_58.0000_57.9000_,24_52_86_148_118_
09:28:55,-,-,6846,58.5000_58.6000_58.7000_58.8000_58.9000_,121_63_100_120_234_,58.4000_58.3000_58.2000_58.1000_58.0000_,6_74_113_124_185_
09:29:55,-,-,6986,58.4000_58.5000_58.6000_58.7000_58.8000_,32_241_69_86_127_,58.3000_58.2000_58.1000_58.0000_57.9000_,37_97_122_173_383_
