08:59:56,-,-,0,15.1000_15.1500_15.2000_15.2500_15.3000_,153_466_693_714_1008_,15.0500_15.0000_14.9500_14.9000_14.8500_,361_1294_229_578_458_
09:00:51,-,-,1130,15.1500_15.2000_15.2500_15.3000_15.3500_,497_693_762_1009_2105_,15.1000_15.0500_15.0000_14.9500_14.9000_,71_356_1272_313_674_
09:01:56,-,-,1351,15.1500_15.2000_15.2500_15.3000_15.3500_,590_811_838_1025_2121_,15.1000_15.0500_15.0000_14.9500_14.9000_,116_398_1290_435_661_
09:01:56,-,-,1351,15.1500_15.2000_15.2500_15.3000_15.3500_,590_811_838_1025_2121_,15.1000_15.0500_15.0000_14.9500_14.9000_,116_398_1290_435_661_
09:03:51,-,-,4576,15.3000_15.3500_15.4000_15.4500_15.5000_,1096_2214_1002_743_1023_,15.2500_15.2000_15.1500_15.1000_15.0500_,523_249_128_375_615_
09:04:56,-,-,5413,15.2500_15.3000_15.3500_15.4000_15.4500_,346_2061_2220_960_865_,15.2000_15.1500_15.1000_15.0500_15.0000_,234_147_421_483_1997_
09:04:56,-,-,5413,15.2500_15.3000_15.3500_15.4000_15.4500_,346_2061_2220_960_865_,15.2000_15.1500_15.1000_15.0500_15.0000_,234_147_421_483_1997_
09:06:56,-,-,6374,15.2500_15.3000_15.3500_15.4000_15.4500_,855_2149_2329_1118_908_,15.2000_15.1500_15.1000_15.0500_15.0000_,24_193_389_655_2217_
09:07:56,-,-,6543,15.2500_15.3000_15.3500_15.4000_15.4500_,983_2255_2335_1181_910_,15.2000_15.1500_15.1000_15.0500_15.0000_,73_431_269_767_2243_
09:07:56,-,-,6543,15.2500_15.3000_15.3500_15.4000_15.4500_,983_2255_2335_1181_910_,15.2000_15.1500_15.1000_15.0500_15.0000_,73_431_269_767_2243_
09:09:51,15.2500,2,7027,15.2500_15.3000_15.3500_15.4000_15.4500_,1146_2308_2389_1203_918_,15.2000_15.1500_15.1000_15.0500_15.0000_,249_446_341_865_2338_
09:10:56,-,-,7368,15.2500_15.3000_15.3500_15.4000_15.4500_,1175_2360_2402_1227_895_,15.2000_15.1500_15.1000_15.0500_15.0000_,103_421_349_873_2378_
09:10:56,-,-,7368,15.2500_15.3000_15.3500_15.4000_15.4500_,1175_2360_2402_1227_895_,15.2000_15.1500_15.1000_15.0500_15.0000_,103_421_349_873_2378_
09:12:51,-,-,7661,15.2500_15.3000_15.3500_15.4000_15.4500_,1843_2147_2437_1254_939_,15.2000_15.1500_15.1000_15.0500_15.0000_,152_227_392_880_2466_
09:12:51,-,-,7661,15.2500_15.3000_15.3500_15.4000_15.4500_,1843_2147_2437_1254_939_,15.2000_15.1500_15.1000_15.0500_15.0000_,152_227_392_880_2466_
09:14:55,-,-,10388,15.3000_15.3500_15.4000_15.4500_15.5000_,2165_2412_1288_984_1591_,15.2000_15.1500_15.1000_15.0500_15.0000_,583_485_515_1020_2422_
09:15:51,15.2500,1,11294,15.3000_15.3500_15.4000_15.4500_15.5000_,2010_2356_1294_1023_1602_,15.2500_15.2000_15.1500_15.1000_15.0500_,146_1181_489_496_1021_
09:16:51,-,-,11541,15.3000_15.3500_15.4000_15.4500_15.5000_,2101_2358_1308_1070_1648_,15.2500_15.2000_15.1500_15.1000_15.0500_,1_1577_503_486_1012_
09:16:51,-,-,11541,15.3000_15.3500_15.4000_15.4500_15.5000_,2101_2358_1308_1070_1648_,15.2500_15.2000_15.1500_15.1000_15.0500_,1_1577_503_486_1012_
09:18:56,-,-,12339,15.2500_15.3000_15.3500_15.4000_15.4500_,466_2460_2431_1321_1100_,15.2000_15.1500_15.1000_15.0500_15.0000_,1227_445_628_942_2284_
09:19:56,15.2000,5,12562,15.2500_15.3000_15.3500_15.4000_15.4500_,610_2430_2398_1326_1101_,15.2000_15.1500_15.1000_15.0500_15.0000_,1405_261_559_1004_2293_
09:20:56,-,-,14325,15.2000_15.2500_15.3000_15.3500_15.4000_,574_899_2428_2413_1338_,15.1000_15.0500_15.0000_14.9500_14.9000_,449_854_1812_896_537_
09:19:56,15.2000,5,12562,15.2500_15.3000_15.3500_15.4000_15.4500_,610_2430_2398_1326_1101_,15.2000_15.1500_15.1000_15.0500_15.0000_,1405_261_559_1004_2293_
09:22:56,-,-,14460,15.2000_15.2500_15.3000_15.3500_15.4000_,690_855_2521_2438_1374_,15.1500_15.1000_15.0500_15.0000_14.9500_,227_542_1349_1864_883_
09:22:56,-,-,14460,15.2000_15.2500_15.3000_15.3500_15.4000_,690_855_2521_2438_1374_,15.1500_15.1000_15.0500_15.0000_14.9500_,227_542_1349_1864_883_
09:24:56,15.1500,3,14759,15.2000_15.2500_15.3000_15.3500_15.4000_,654_883_2577_2430_1366_,15.1500_15.1000_15.0500_15.0000_14.9500_,361_621_1044_2327_912_
09:24:56,15.1500,3,14759,15.2000_15.2500_15.3000_15.3500_15.4000_,654_883_2577_2430_1366_,15.1500_15.1000_15.0500_15.0000_14.9500_,361_621_1044_2327_912_
09:26:51,-,-,15801,15.2000_15.2500_15.3000_15.3500_15.4000_,80_931_2658_2449_1374_,15.1500_15.1000_15.0500_15.0000_14.9500_,498_718_1149_2364_1276_
