08:59:55,-,-,0,67.2000_67.3000_67.4000_67.5000_67.6000_,4_3_16_31_34_,67.1000_67.0000_66.9000_66.8000_66.7000_,28_132_23_16_20_
09:00:57,-,-,468,67.7000_67.8000_67.9000_68.0000_68.1000_,5_25_8_18_9_,67.6000_67.5000_67.4000_67.3000_67.2000_,11_14_8_17_49_
09:01:57,-,-,783,68.6000_68.7000_68.8000_68.9000_69.0000_,11_12_20_17_39_,68.4000_68.3000_68.2000_68.1000_68.0000_,5_7_11_8_16_
09:01:57,-,-,783,68.6000_68.7000_68.8000_68.9000_69.0000_,11_12_20_17_39_,68.4000_68.3000_68.2000_68.1000_68.0000_,5_7_11_8_16_
09:03:57,-,-,1288,68.5000_68.6000_68.7000_68.8000_68.9000_,54_18_43_59_23_,68.4000_68.3000_68.2000_68.1000_68.0000_,2_55_31_9_23_
09:04:52,-,-,1452,67.9000_68.0000_68.1000_68.2000_68.3000_,18_30_4_4_7_,67.8000_67.7000_67.6000_67.5000_67.4000_,5_11_9_25_14_
09:04:52,-,-,1452,67.9000_68.0000_68.1000_68.2000_68.3000_,18_30_4_4_7_,67.8000_67.7000_67.6000_67.5000_67.4000_,5_11_9_25_14_
09:06:56,-,-,1762,68.3000_68.4000_68.5000_68.6000_68.7000_,15_24_51_28_48_,68.2000_68.1000_68.0000_67.9000_67.8000_,6_24_30_21_19_
09:07:57,-,-,2075,68.6000_68.7000_68.8000_68.9000_69.0000_,14_16_70_23_80_,68.5000_68.4000_68.3000_68.2000_68.1000_,2_9_8_8_27_
09:07:57,-,-,2075,68.6000_68.7000_68.8000_68.9000_69.0000_,14_16_70_23_80_,68.5000_68.4000_68.3000_68.2000_68.1000_,2_9_8_8_27_
09:09:52,-,-,2297,68.2000_68.3000_68.4000_68.5000_68.6000_,15_9_8_26_18_,68.1000_68.0000_67.9000_67.8000_67.7000_,1_13_17_51_11_
09:10:52,68.1000,1,2344,68.1000_68.2000_68.3000_68.4000_68.5000_,1_5_10_19_37_,68.0000_67.9000_67.8000_67.7000_67.6000_,29_22_62_11_11_
09:10:52,68.1000,1,2344,68.1000_68.2000_68.3000_68.4000_68.5000_,1_5_10_19_37_,68.0000_67.9000_67.8000_67.7000_67.6000_,29_22_62_11_11_
09:12:57,-,-,2670,68.2000_68.3000_68.4000_68.5000_68.6000_,4_7_10_24_71_,68.1000_68.0000_67.9000_67.8000_67.7000_,7_87_12_28_13_
09:12:57,-,-,2670,68.2000_68.3000_68.4000_68.5000_68.6000_,4_7_10_24_71_,68.1000_68.0000_67.9000_67.8000_67.7000_,7_87_12_28_13_
09:14:53,68.1000,1,2715,68.2000_68.3000_68.4000_68.5000_68.6000_,8_13_9_30_88_,68.1000_68.0000_67.9000_67.8000_67.7000_,21_94_15_37_13_
09:15:57,-,-,2755,68.1000_68.2000_68.3000_68.4000_68.5000_,1_11_14_9_34_,68.0000_67.9000_67.8000_67.7000_67.6000_,96_25_31_14_22_
09:16:56,67.8000,2,2953,68.0000_68.1000_68.2000_68.3000_68.4000_,5_12_7_16_13_,67.8000_67.7000_67.6000_67.5000_67.4000_,35_11_17_28_20_
09:16:56,67.8000,2,2953,68.0000_68.1000_68.2000_68.3000_68.4000_,5_12_7_16_13_,67.8000_67.7000_67.6000_67.5000_67.4000_,35_11_17_28_20_
09:18:52,-,-,3081,68.0000_68.1000_68.2000_68.3000_68.4000_,1_6_5_12_10_,67.8000_67.7000_67.6000_67.5000_67.4000_,19_11_17_38_23_
