08:59:56,-,-,0,26.0500_26.1000_26.1500_26.2000_26.2500_,206_276_392_437_229_,26.0000_25.9500_25.9000_25.8500_25.8000_,445_101_252_297_645_
09:00:57,25.8500,2,7736,25.8500_25.9000_25.9500_26.0000_26.0500_,143_305_395_388_321_,25.7500_25.7000_25.6500_25.6000_25.5500_,396_785_1030_384_339_
09:01:57,-,-,11037,25.8000_25.8500_25.9000_25.9500_26.0000_,20_343_365_561_566_,25.7500_25.7000_25.6500_25.6000_25.5500_,837_746_1473_376_359_
09:01:57,-,-,11037,25.8000_25.8500_25.9000_25.9500_26.0000_,20_343_365_561_566_,25.7500_25.7000_25.6500_25.6000_25.5500_,837_746_1473_376_359_
09:03:57,-,-,21480,26.3000_26.3500_26.4000_26.4500_26.5000_,241_1346_1671_869_1691_,26.2500_26.2000_26.1500_26.1000_26.0500_,255_161_168_222_234_
09:04:52,-,-,28423,26.4000_26.4500_26.5000_26.5500_26.6000_,357_1159_2073_551_1133_,26.3500_26.3000_26.2500_26.2000_26.1500_,407_270_365_377_353_
09:04:52,-,-,28423,26.4000_26.4500_26.5000_26.5500_26.6000_,357_1159_2073_551_1133_,26.3500_26.3000_26.2500_26.2000_26.1500_,407_270_365_377_353_
09:06:57,-,-,32696,26.1500_26.2000_26.2500_26.3000_26.3500_,240_566_335_455_653_,26.1000_26.0500_26.0000_25.9500_25.9000_,623_278_802_290_336_
09:07:57,-,-,34064,26.2000_26.2500_26.3000_26.3500_26.4000_,493_210_451_638_1581_,26.1500_26.1000_26.0500_26.0000_25.9500_,424_710_317_881_319_
09:07:57,-,-,34064,26.2000_26.2500_26.3000_26.3500_26.4000_,493_210_451_638_1581_,26.1500_26.1000_26.0500_26.0000_25.9500_,424_710_317_881_319_
09:09:52,-,-,38043,26.4000_26.4500_26.5000_26.5500_26.6000_,1563_1140_3025_733_1274_,26.3500_26.3000_26.2500_26.2000_26.1500_,580_476_466_359_621_
09:10:52,-,-,40758,26.2500_26.3000_26.3500_26.4000_26.4500_,115_486_850_1821_1227_,26.2000_26.1500_26.1000_26.0500_26.0000_,370_414_779_380_1278_
09:10:52,-,-,40758,26.2500_26.3000_26.3500_26.4000_26.4500_,115_486_850_1821_1227_,26.2000_26.1500_26.1000_26.0500_26.0000_,370_414_779_380_1278_
09:12:57,-,-,47161,26.4500_26.5000_26.5500_26.6000_26.6500_,1221_3221_860_1335_774_,26.4000_26.3500_26.3000_26.2500_26.2000_,314_266_296_373_737_
09:12:57,-,-,47161,26.4500_26.5000_26.5500_26.6000_26.6500_,1221_3221_860_1335_774_,26.4000_26.3500_26.3000_26.2500_26.2000_,314_266_296_373_737_
09:14:57,-,-,57975,26.4500_26.5000_26.5500_26.6000_26.6500_,117_575_953_1483_981_,26.4000_26.3500_26.3000_26.2500_26.2000_,104_448_372_253_806_
09:15:57,-,-,60926,26.5500_26.6000_26.6500_26.7000_26.7500_,921_1553_1039_2095_1454_,26.5000_26.4500_26.4000_26.3500_26.3000_,167_397_773_614_491_
09:16:57,-,-,63761,26.4500_26.5000_26.5500_26.6000_26.6500_,222_737_1262_1591_1129_,26.4000_26.3500_26.3000_26.2500_26.2000_,179_457_600_380_930_
09:16:57,-,-,63761,26.4500_26.5000_26.5500_26.6000_26.6500_,222_737_1262_1591_1129_,26.4000_26.3500_26.3000_26.2500_26.2000_,179_457_600_380_930_
09:18:52,-,-,66989,26.4000_26.4500_26.5000_26.5500_26.6000_,254_1023_1374_1454_2154_,26.3500_26.3000_26.2500_26.2000_26.1500_,36_381_563_852_576_
09:19:57,26.2500,1,68337,26.2500_26.3000_26.3500_26.4000_26.4500_,201_203_423_399_532_,26.2000_26.1500_26.1000_26.0500_26.0000_,820_1091_835_530_1628_
09:20:57,-,-,69828,26.2000_26.2500_26.3000_26.3500_26.4000_,330_231_269_489_434_,26.1500_26.1000_26.0500_26.0000_25.9500_,905_768_661_1716_234_
09:19:57,26.2500,1,68337,26.2500_26.3000_26.3500_26.4000_26.4500_,201_203_423_399_532_,26.2000_26.1500_26.1000_26.0500_26.0000_,820_1091_835_530_1628_
09:22:52,-,-,71463,26.3000_26.3500_26.4000_26.4500_26.5000_,21_502_629_888_2237_,26.2500_26.2000_26.1500_26.1000_26.0500_,377_657_1064_980_756_
09:22:52,-,-,71463,26.3000_26.3500_26.4000_26.4500_26.5000_,21_502_629_888_2237_,26.2500_26.2000_26.1500_26.1000_26.0500_,377_657_1064_980_756_
09:24:57,26.2500,1,73633,26.2500_26.3000_26.3500_26.4000_26.4500_,221_633_480_605_1091_,26.2000_26.1500_26.1000_26.0500_26.0000_,400_1236_949_936_2022_
09:24:57,26.2500,1,73633,26.2500_26.3000_26.3500_26.4000_26.4500_,221_633_480_605_1091_,26.2000_26.1500_26.1000_26.0500_26.0000_,400_1236_949_936_2022_
09:26:57,26.3000,2,76224,26.3000_26.3500_26.4000_26.4500_26.5000_,41_211_832_1016_2688_,26.2500_26.2000_26.1500_26.1000_26.0500_,108_1069_1372_1199_850_
