08:59:55,-,-,0,42.0500_42.1000_42.1500_42.2000_42.2500_,1_4_55_3_21_,42.0000_41.9500_41.9000_41.8500_41.8000_,14_10_12_7_25_
09:00:56,-,-,1817,43.0000_43.0500_43.1000_43.1500_43.2000_,75_11_19_12_31_,42.9500_42.9000_42.8500_42.8000_42.7000_,52_54_14_12_4_
09:01:56,-,-,2480,43.0500_43.1000_43.1500_43.2000_43.2500_,6_19_17_33_4_,43.0000_42.9500_42.9000_42.8500_42.8000_,2_13_40_18_23_
09:01:56,-,-,2480,43.0500_43.1000_43.1500_43.2000_43.2500_,6_19_17_33_4_,43.0000_42.9500_42.9000_42.8500_42.8000_,2_13_40_18_23_
09:03:51,-,-,3278,42.9000_42.9500_43.0000_43.0500_43.1000_,2_21_51_42_54_,42.8000_42.7500_42.7000_42.6500_42.6000_,2_35_12_25_29_
09:04:56,-,-,3664,43.0000_43.0500_43.1000_43.1500_43.2000_,4_16_67_50_64_,42.9500_42.9000_42.8500_42.8000_42.7500_,22_6_8_8_38_
09:04:56,-,-,3664,43.0000_43.0500_43.1000_43.1500_43.2000_,4_16_67_50_64_,42.9500_42.9000_42.8500_42.8000_42.7500_,22_6_8_8_38_
09:06:56,-,-,4180,42.7000_42.7500_42.8000_42.8500_42.9000_,7_12_33_15_24_,42.6500_42.6000_42.5500_42.5000_42.4500_,2_40_16_68_6_
09:07:56,42.6000,8,4419,42.6500_42.7000_42.7500_42.8000_42.8500_,3_17_31_30_10_,42.6000_42.5500_42.5000_42.4500_42.4000_,6_26_61_13_40_
09:07:56,42.6000,8,4419,42.6500_42.7000_42.7500_42.8000_42.8500_,3_17_31_30_10_,42.6000_42.5500_42.5000_42.4500_42.4000_,6_26_61_13_40_
09:09:56,42.6000,5,4798,42.6500_42.7000_42.7500_42.8000_42.8500_,15_44_17_57_29_,42.5500_42.5000_42.4500_42.4000_42.3500_,26_75_22_30_27_
09:10:51,42.3500,1,5060,42.4000_42.4500_42.5000_42.5500_42.6000_,17_33_91_11_13_,42.3000_42.2500_42.2000_42.1500_42.1000_,17_3_12_1_18_
09:10:51,42.3500,1,5060,42.4000_42.4500_42.5000_42.5500_42.6000_,17_33_91_11_13_,42.3000_42.2500_42.2000_42.1500_42.1000_,17_3_12_1_18_
09:12:56,42.4000,5,5513,42.4000_42.4500_42.5000_42.5500_42.6000_,3_17_20_7_21_,42.3500_42.3000_42.2500_42.2000_42.1500_,24_43_10_16_1_
09:12:56,42.4000,5,5513,42.4000_42.4500_42.5000_42.5500_42.6000_,3_17_20_7_21_,42.3500_42.3000_42.2500_42.2000_42.1500_,24_43_10_16_1_
09:14:51,-,-,5765,42.3500_42.4000_42.4500_42.5000_42.5500_,8_10_64_9_22_,42.3000_42.2500_42.2000_42.1500_42.1000_,77_7_25_10_20_
09:15:56,-,-,5992,42.6000_42.6500_42.7000_42.7500_42.8000_,28_14_15_18_51_,42.5500_42.5000_42.4500_42.4000_42.3500_,19_21_6_8_23_
09:16:56,-,-,6086,42.6000_42.6500_42.7000_42.7500_42.8000_,9_35_8_12_54_,42.5500_42.5000_42.4500_42.4000_42.3500_,21_30_5_9_51_
09:16:56,-,-,6086,42.6000_42.6500_42.7000_42.7500_42.8000_,9_35_8_12_54_,42.5500_42.5000_42.4500_42.4000_42.3500_,21_30_5_9_51_
09:18:51,42.3500,2,6284,42.4000_42.4500_42.5000_42.5500_42.6000_,22_6_43_41_122_,42.3500_42.3000_42.2500_42.2000_42.1500_,35_65_12_29_19_
09:19:55,-,-,6396,42.4000_42.4500_42.5000_42.5500_42.6000_,33_30_45_62_57_,42.3500_42.3000_42.2500_42.2000_42.1500_,23_83_12_37_21_
