08:59:57,-,-,0,46.8500_46.9000_46.9500_47.0000_47.0500_,20_29_95_116_7_,46.8000_46.7500_46.7000_46.6000_46.5500_,54_23_21_15_13_
09:00:53,-,-,2120,46.5000_46.5500_46.6000_46.6500_46.7000_,6_21_14_20_36_,46.4500_46.4000_46.3500_46.3000_46.2500_,11_84_33_167_10_
09:01:58,-,-,3561,46.5000_46.5500_46.6000_46.6500_46.7000_,6_21_43_15_40_,46.4500_46.4000_46.3500_46.3000_46.2500_,1_109_33_64_31_
09:01:58,-,-,3561,46.5000_46.5500_46.6000_46.6500_46.7000_,6_21_43_15_40_,46.4500_46.4000_46.3500_46.3000_46.2500_,1_109_33_64_31_
09:03:53,-,-,6291,47.2500_47.3000_47.3500_47.4000_47.4500_,25_21_31_40_44_,47.2000_47.1500_47.1000_47.0500_47.0000_,14_7_9_34_87_
09:04:58,-,-,8463,47.0000_47.0500_47.1000_47.1500_47.2000_,6_40_13_9_19_,46.9000_46.8500_46.8000_46.7500_46.7000_,33_21_76_15_43_
09:04:58,-,-,8463,47.0000_47.0500_47.1000_47.1500_47.2000_,6_40_13_9_19_,46.9000_46.8500_46.8000_46.7500_46.7000_,33_21_76_15_43_
09:06:53,-,-,10498,47.4000_47.4500_47.5000_47.5500_47.6000_,21_24_251_67_83_,47.3000_47.2500_47.2000_47.1500_47.1000_,19_14_40_73_43_
09:07:58,-,-,11244,47.2500_47.3000_47.3500_47.4000_47.4500_,10_90_71_106_141_,47.2000_47.1500_47.1000_47.0500_47.0000_,2_46_43_39_135_
09:07:58,-,-,11244,47.2500_47.3000_47.3500_47.4000_47.4500_,10_90_71_106_141_,47.2000_47.1500_47.1000_47.0500_47.0000_,2_46_43_39_135_
09:09:53,-,-,12965,47.4500_47.5000_47.5500_47.6000_47.6500_,35_309_114_67_66_,47.4000_47.3500_47.3000_47.2500_47.2000_,21_4_14_37_57_
09:10:53,-,-,14366,47.6500_47.7000_47.7500_47.8000_47.8500_,17_88_84_181_138_,47.5500_47.5000_47.4500_47.4000_47.3500_,3_36_47_16_24_
09:10:53,-,-,14366,47.6500_47.7000_47.7500_47.8000_47.8500_,17_88_84_181_138_,47.5500_47.5000_47.4500_47.4000_47.3500_,3_36_47_16_24_
09:12:53,-,-,16491,47.9000_47.9500_48.0000_48.0500_48.1000_,34_95_345_29_68_,47.8500_47.8000_47.7500_47.7000_47.6500_,1_84_48_19_28_
09:12:53,-,-,16491,47.9000_47.9500_48.0000_48.0500_48.1000_,34_95_345_29_68_,47.8500_47.8000_47.7500_47.7000_47.6500_,1_84_48_19_28_
09:14:53,47.9500,1,17948,48.0000_48.0500_48.1000_48.1500_48.2000_,404_29_59_87_217_,47.9500_47.9000_47.8500_47.8000_47.7500_,127_73_40_55_45_
09:15:58,-,-,18579,47.9500_48.0000_48.0500_48.1000_48.1500_,31_392_68_87_102_,47.9000_47.8500_47.8000_47.7500_47.7000_,80_79_155_59_58_
09:16:53,-,-,19276,47.7000_47.7500_47.8000_47.8500_47.9000_,49_20_32_26_56_,47.6000_47.5500_47.5000_47.4500_47.4000_,135_54_110_78_65_
09:16:53,-,-,19276,47.7000_47.7500_47.8000_47.8500_47.9000_,49_20_32_26_56_,47.6000_47.5500_47.5000_47.4500_47.4000_,135_54_110_78_65_
09:18:53,-,-,21815,47.9000_47.9500_48.0000_48.0500_48.1000_,22_38_49_32_76_,47.8500_47.8000_47.7500_47.7000_47.6500_,13_42_22_20_52_
09:19:58,-,-,22361,47.5500_47.6000_47.6500_47.7000_47.7500_,24_58_22_61_39_,47.5000_47.4500_47.4000_47.3500_47.3000_,101_15_46_80_145_
09:20:58,-,-,22903,47.9500_48.0000_48.0500_48.1000_48.1500_,29_117_33_181_122_,47.9000_47.8500_47.8000_47.7500_47.7000_,13_17_22_8_22_
09:19:58,-,-,22361,47.5500_47.6000_47.6500_47.7000_47.7500_,24_58_22_61_39_,47.5000_47.4500_47.4000_47.3500_47.3000_,101_15_46_80_145_
09:22:53,-,-,23552,47.7500_47.8000_47.8500_47.9000_47.9500_,17_33_44_47_138_,47.7000_47.6500_47.6000_47.5500_47.5000_,48_33_121_46_205_
09:22:53,-,-,23552,47.7500_47.8000_47.8500_47.9000_47.9500_,17_33_44_47_138_,47.7000_47.6500_47.6000_47.5500_47.5000_,48_33_121_46_205_
09:24:53,-,-,24352,47.8000_47.8500_47.9000_47.9500_48.0000_,6_31_51_132_357_,47.7500_47.7000_47.6500_47.6000_47.5500_,8_7_24_63_120_
09:24:53,-,-,24352,47.8000_47.8500_47.9000_47.9500_48.0000_,6_31_51_132_357_,47.7500_47.7000_47.6500_47.6000_47.5500_,8_7_24_63_120_
09:26:58,-,-,24704,47.8500_47.9000_47.9500_48.0000_48.0500_,34_87_178_392_74_,47.8000_47.7500_47.7000_47.6500_47.6000_,21_41_58_38_56_
09:26:58,-,-,24704,47.8500_47.9000_47.9500_48.0000_48.0500_,34_87_178_392_74_,47.8000_47.7500_47.7000_47.6500_47.6000_,21_41_58_38_56_
09:27:58,-,-,24963,47.8500_47.9000_47.9500_48.0000_48.0500_,46_122_181_395_88_,47.7500_47.7000_47.6500_47.6000_47.5500_,32_56_22_51_115_
09:29:58,47.6000,2,25366,47.6000_47.6500_47.7000_47.7500_47.8000_,3_52_40_48_50_,47.5500_47.5000_47.4500_47.4000_47.3500_,132_255_65_68_55_
09:30:53,-,-,25946,47.4500_47.5000_47.5500_47.6000_47.6500_,91_17_35_48_42_,47.3500_47.3000_47.2500_47.2000_47.1500_,44_133_57_116_44_
09:31:53,47.4500,1,26497,47.4500_47.5000_47.5500_47.6000_47.6500_,7_35_14_43_54_,47.4000_47.3500_47.3000_47.2500_47.2000_,122_146_120_32_124_
09:32:53,-,-,26838,47.7000_47.7500_47.8000_47.8500_47.9000_,56_39_85_82_95_,47.6500_47.6000_47.5500_47.5000_47.4500_,65_50_58_64_93_
09:33:58,47.7500,5,27230,47.7500_47.8000_47.8500_47.9000_47.9500_,27_86_85_98_152_,47.7000_47.6500_47.6000_47.5500_47.5000_,53_53_133_62_76_
09:34:58,-,-,27400,47.8000_47.8500_47.9000_47.9500_48.0000_,81_96_113_179_493_,47.7500_47.7000_47.6500_47.6000_47.5500_,67_71_48_126_65_
09:35:58,47.7500,1,27667,47.7500_47.8000_47.8500_47.9000_47.9500_,4_85_93_129_199_,47.7000_47.6500_47.6000_47.5500_47.5000_,96_59_130_158_114_
09:36:53,-,-,28595,48.0000_48.0500_48.1000_48.1500_48.2000_,353_89_303_215_342_,47.9500_47.9000_47.8500_47.8000_47.7500_,63_71_37_37_30_
09:35:58,47.7500,1,27667,47.7500_47.8000_47.8500_47.9000_47.9500_,4_85_93_129_199_,47.7000_47.6500_47.6000_47.5500_47.5000_,96_59_130_158_114_
09:38:53,-,-,31054,48.0000_48.0500_48.1000_48.1500_48.2000_,35_31_86_184_268_,47.8500_47.8000_47.7500_47.7000_47.6500_,26_34_115_142_250_
09:38:53,-,-,31054,48.0000_48.0500_48.1000_48.1500_48.2000_,35_31_86_184_268_,47.8500_47.8000_47.7500_47.7000_47.6500_,26_34_115_142_250_
09:40:53,-,-,31629,47.8000_47.8500_47.9000_47.9500_48.0000_,33_24_22_35_90_,47.7500_47.7000_47.6500_47.6000_47.5500_,39_199_141_161_71_
09:39:58,-,-,31502,47.8500_47.9000_47.9500_48.0000_48.0500_,15_21_32_67_54_,47.8000_47.7500_47.7000_47.6500_47.6000_,14_3_172_142_155_
09:41:58,-,-,32227,47.9000_47.9500_48.0000_48.0500_48.1000_,12_25_97_54_223_,47.8500_47.8000_47.7500_47.7000_47.6500_,25_26_29_34_63_
09:43:58,-,-,33022,48.0500_48.1000_48.1500_48.2000_48.2500_,24_234_137_355_113_,48.0000_47.9500_47.9000_47.8500_47.8000_,170_35_42_25_37_
09:44:53,-,-,33486,48.0000_48.0500_48.1000_48.1500_48.2000_,40_82_275_176_371_,47.9500_47.9000_47.8500_47.8000_47.7500_,8_13_55_144_41_
09:44:53,-,-,33486,48.0000_48.0500_48.1000_48.1500_48.2000_,40_82_275_176_371_,47.9500_47.9000_47.8500_47.8000_47.7500_,8_13_55_144_41_
09:46:53,-,-,33794,48.0000_48.0500_48.1000_48.1500_48.2000_,96_139_285_189_362_,47.9500_47.9000_47.8500_47.8000_47.7500_,3_14_20_163_28_
09:46:53,-,-,33794,48.0000_48.0500_48.1000_48.1500_48.2000_,96_139_285_189_362_,47.9500_47.9000_47.8500_47.8000_47.7500_,3_14_20_163_28_
09:48:53,-,-,34228,48.0000_48.0500_48.1000_48.1500_48.2000_,87_123_286_180_364_,47.9500_47.9000_47.8500_47.8000_47.7500_,17_36_37_184_46_
09:48:53,-,-,34228,48.0000_48.0500_48.1000_48.1500_48.2000_,87_123_286_180_364_,47.9500_47.9000_47.8500_47.8000_47.7500_,17_36_37_184_46_
09:50:53,47.8500,2,34491,47.9000_47.9500_48.0000_48.0500_48.1000_,17_50_240_138_309_,47.8500_47.8000_47.7500_47.7000_47.6500_,28_205_39_101_84_
09:51:58,-,-,34633,47.8500_47.9000_47.9500_48.0000_48.0500_,51_45_95_256_166_,47.8000_47.7500_47.7000_47.6500_47.6000_,191_34_95_77_118_
09:51:58,-,-,34633,47.8500_47.9000_47.9500_48.0000_48.0500_,51_45_95_256_166_,47.8000_47.7500_47.7000_47.6500_47.6000_,191_34_95_77_118_
09:52:53,-,-,34991,47.7500_47.8000_47.8500_47.9000_47.9500_,3_20_31_38_112_,47.7000_47.6500_47.6000_47.5500_47.5000_,46_63_90_110_253_
09:54:53,-,-,35243,47.8000_47.8500_47.9000_47.9500_48.0000_,9_33_59_90_307_,47.7500_47.7000_47.6500_47.6000_47.5500_,12_71_53_86_117_
09:55:53,47.6500,10,35485,47.7500_47.8000_47.8500_47.9000_47.9500_,33_26_35_64_116_,47.6500_47.6000_47.5500_47.5000_47.4500_,58_84_101_236_130_
09:56:53,47.6000,1,35647,47.6500_47.7000_47.7500_47.8000_47.8500_,28_68_22_23_30_,47.6000_47.5500_47.5000_47.4500_47.4000_,94_146_261_123_133_
09:57:53,-,-,35945,47.6000_47.6500_47.7000_47.7500_47.8000_,64_54_62_24_21_,47.5500_47.5000_47.4500_47.4000_47.3500_,114_239_140_132_99_
09:58:53,-,-,36419,47.6000_47.6500_47.7000_47.7500_47.8000_,44_26_36_25_24_,47.5500_47.5000_47.4500_47.4000_47.3500_,42_275_137_154_103_
09:59:58,47.5500,1,36638,47.5500_47.6000_47.6500_47.7000_47.7500_,20_52_20_38_30_,47.5000_47.4500_47.4000_47.3500_47.3000_,315_160_165_107_158_
10:00:53,-,-,36710,47.6000_47.6500_47.7000_47.7500_47.8000_,64_20_36_31_27_,47.5500_47.5000_47.4500_47.4000_47.3500_,132_366_104_143_112_
10:00:53,-,-,36710,47.6000_47.6500_47.7000_47.7500_47.8000_,64_20_36_31_27_,47.5500_47.5000_47.4500_47.4000_47.3500_,132_366_104_143_112_
10:02:53,47.3000,1,37752,47.3500_47.4000_47.4500_47.5000_47.5500_,20_25_136_31_51_,47.3000_47.2500_47.2000_47.1500_47.1000_,117_39_105_43_95_
10:02:53,47.3000,1,37752,47.3500_47.4000_47.4500_47.5000_47.5500_,20_25_136_31_51_,47.3000_47.2500_47.2000_47.1500_47.1000_,117_39_105_43_95_
10:04:53,-,-,38819,47.1500_47.2000_47.2500_47.3000_47.3500_,1_63_13_30_10_,47.1000_47.0500_47.0000_46.9500_46.9000_,67_85_417_79_83_
10:05:58,-,-,39235,47.1500_47.2000_47.2500_47.3000_47.3500_,46_53_25_33_33_,47.1000_47.0500_47.0000_46.9500_46.9000_,153_109_437_98_100_
