08:59:59,-,-,0,27.0500_27.1000_27.2000_27.2500_27.3000_,542_20_73_131_14_,27.0000_26.9500_26.9000_26.8500_26.8000_,7_8_16_67_63_
09:00:52,-,-,2411,27.5000_27.5500_27.6000_27.6500_27.7000_,123_8_16_13_46_,27.4000_27.3500_27.3000_27.2500_27.2000_,3_6_7_10_8_
09:01:57,-,-,3046,26.9500_27.0000_27.0500_27.1000_27.1500_,25_14_7_15_4_,26.9000_26.8500_26.8000_26.7500_26.7000_,4_42_62_19_17_
09:01:57,-,-,3046,26.9500_27.0000_27.0500_27.1000_27.1500_,25_14_7_15_4_,26.9000_26.8500_26.8000_26.7500_26.7000_,4_42_62_19_17_
09:03:52,-,-,4036,26.9000_26.9500_27.0000_27.0500_27.1000_,5_15_13_18_7_,26.8500_26.8000_26.7500_26.7000_26.6500_,1_52_69_18_29_
09:04:56,-,-,4419,26.7500_26.8000_26.8500_26.9000_26.9500_,61_9_23_7_27_,26.7000_26.6500_26.6000_26.5500_26.5000_,48_37_29_39_135_
09:04:56,-,-,4419,26.7500_26.8000_26.8500_26.9000_26.9500_,61_9_23_7_27_,26.7000_26.6500_26.6000_26.5500_26.5000_,48_37_29_39_135_
09:06:57,-,-,5132,27.2000_27.2500_27.3000_27.3500_27.4000_,13_70_67_25_25_,27.1500_27.1000_27.0500_27.0000_26.9500_,15_112_22_34_20_
09:07:57,-,-,5496,27.1000_27.1500_27.2000_27.2500_27.3000_,10_22_15_70_68_,27.0500_27.0000_26.9500_26.9000_26.8500_,15_31_21_19_17_
09:07:57,-,-,5496,27.1000_27.1500_27.2000_27.2500_27.3000_,10_22_15_70_68_,27.0500_27.0000_26.9500_26.9000_26.8500_,15_31_21_19_17_
09:09:52,-,-,5976,26.7000_26.7500_26.8000_26.8500_26.9000_,6_12_14_12_9_,26.6500_26.6000_26.5500_26.5000_26.4500_,54_56_34_190_37_
09:10:57,-,-,6378,26.6500_26.7000_26.7500_26.8000_26.8500_,7_9_24_4_15_,26.6000_26.5500_26.5000_26.4500_26.4000_,45_34_161_29_77_
09:10:57,-,-,6378,26.6500_26.7000_26.7500_26.8000_26.8500_,7_9_24_4_15_,26.6000_26.5500_26.5000_26.4500_26.4000_,45_34_161_29_77_
09:12:51,-,-,6548,26.7500_26.8000_26.8500_26.9000_26.9500_,6_10_22_36_46_,26.7000_26.6500_26.6000_26.5500_26.5000_,3_49_123_47_244_
09:12:51,-,-,6548,26.7500_26.8000_26.8500_26.9000_26.9500_,6_10_22_36_46_,26.7000_26.6500_26.6000_26.5500_26.5000_,3_49_123_47_244_
09:14:57,-,-,6890,26.6500_26.7000_26.7500_26.8000_26.8500_,3_24_9_14_18_,26.6000_26.5500_26.5000_26.4500_26.4000_,7_60_273_19_111_
09:15:52,-,-,6932,26.7000_26.7500_26.8000_26.8500_26.9000_,24_3_53_43_51_,26.6500_26.6000_26.5500_26.5000_26.4500_,5_26_59_275_19_
09:16:52,-,-,7039,26.6000_26.6500_26.7000_26.7500_26.8000_,6_11_73_13_55_,26.5500_26.5000_26.4500_26.4000_26.3500_,70_245_57_61_54_
09:16:52,-,-,7039,26.6000_26.6500_26.7000_26.7500_26.8000_,6_11_73_13_55_,26.5500_26.5000_26.4500_26.4000_26.3500_,70_245_57_61_54_
09:18:57,-,-,7224,26.6500_26.7000_26.7500_26.8000_26.8500_,51_86_9_19_39_,26.6000_26.5500_26.5000_26.4500_26.4000_,19_66_241_27_111_
09:19:56,-,-,7376,26.6000_26.6500_26.7000_26.7500_26.8000_,13_15_75_9_22_,26.5500_26.5000_26.4500_26.4000_26.3500_,75_248_51_56_59_
09:20:56,-,-,7476,26.6000_26.6500_26.7000_26.7500_26.8000_,22_10_86_15_21_,26.5000_26.4500_26.4000_26.3500_26.3000_,247_42_78_29_143_
09:19:56,-,-,7376,26.6000_26.6500_26.7000_26.7500_26.8000_,13_15_75_9_22_,26.5500_26.5000_26.4500_26.4000_26.3500_,75_248_51_56_59_
09:22:57,-,-,7843,26.5000_26.5500_26.6000_26.6500_26.7000_,63_101_18_7_76_,26.4500_26.4000_26.3500_26.3000_26.2500_,14_48_60_155_24_
09:22:57,-,-,7843,26.5000_26.5500_26.6000_26.6500_26.7000_,63_101_18_7_76_,26.4500_26.4000_26.3500_26.3000_26.2500_,14_48_60_155_24_
09:24:57,-,-,8246,26.5500_26.6000_26.6500_26.7000_26.7500_,94_28_11_83_18_,26.5000_26.4500_26.4000_26.3500_26.3000_,39_31_64_65_143_
09:24:57,-,-,8246,26.5500_26.6000_26.6500_26.7000_26.7500_,94_28_11_83_18_,26.5000_26.4500_26.4000_26.3500_26.3000_,39_31_64_65_143_
09:26:52,-,-,8374,26.5000_26.5500_26.6000_26.6500_26.7000_,23_89_34_7_74_,26.4500_26.4000_26.3500_26.3000_26.2500_,19_52_79_132_23_
09:26:52,-,-,8374,26.5000_26.5500_26.6000_26.6500_26.7000_,23_89_34_7_74_,26.4500_26.4000_26.3500_26.3000_26.2500_,19_52_79_132_23_
09:27:56,-,-,8419,26.5000_26.5500_26.6000_26.6500_26.7000_,1_89_27_7_75_,26.4500_26.4000_26.3500_26.3000_26.2500_,30_55_78_132_23_
09:29:57,-,-,8611,26.6500_26.7000_26.7500_26.8000_26.8500_,9_67_14_51_38_,26.6000_26.5500_26.5000_26.4500_26.4000_,17_26_32_49_68_
09:30:57,-,-,8713,26.7000_26.7500_26.8000_26.8500_26.9000_,67_15_46_38_18_,26.6500_26.6000_26.5500_26.5000_26.4500_,11_52_16_30_48_
09:31:57,-,-,8811,26.6000_26.6500_26.7000_26.7500_26.8000_,2_12_71_13_47_,26.5500_26.5000_26.4500_26.4000_26.3500_,17_26_78_71_78_
09:32:52,-,-,8830,26.6000_26.6500_26.7000_26.7500_26.8000_,12_18_65_30_47_,26.5500_26.5000_26.4500_26.4000_26.3500_,42_27_71_72_78_
09:33:56,-,-,8889,26.6000_26.6500_26.7000_26.7500_26.8000_,10_25_67_30_47_,26.5500_26.5000_26.4500_26.4000_26.3500_,7_44_62_98_77_
09:34:55,-,-,8935,26.5500_26.6000_26.6500_26.7000_26.7500_,6_12_20_68_30_,26.5000_26.4500_26.4000_26.3500_26.3000_,30_62_99_87_129_
09:35:57,-,-,8985,26.5000_26.5500_26.6000_26.6500_26.7000_,18_19_12_20_68_,26.4500_26.4000_26.3500_26.3000_26.2500_,72_85_92_114_31_
09:36:52,-,-,9000,26.5000_26.5500_26.6000_26.6500_26.7000_,25_4_12_20_68_,26.4500_26.4000_26.3500_26.3000_26.2500_,75_84_91_115_38_
09:35:57,-,-,8985,26.5000_26.5500_26.6000_26.6500_26.7000_,18_19_12_20_68_,26.4500_26.4000_26.3500_26.3000_26.2500_,72_85_92_114_31_
09:38:57,-,-,9334,26.4000_26.4500_26.5000_26.5500_26.6000_,54_4_26_4_39_,26.3500_26.3000_26.2500_26.2000_26.1500_,5_104_49_68_66_
09:38:57,-,-,9334,26.4000_26.4500_26.5000_26.5500_26.6000_,54_4_26_4_39_,26.3500_26.3000_26.2500_26.2000_26.1500_,5_104_49_68_66_
09:40:52,-,-,9643,26.4000_26.4500_26.5000_26.5500_26.6000_,29_7_29_7_38_,26.3500_26.3000_26.2500_26.2000_26.1500_,9_28_21_70_19_
09:39:57,-,-,9473,26.3000_26.3500_26.4000_26.4500_26.5000_,10_28_52_4_36_,26.2500_26.2000_26.1500_26.1000_26.0500_,49_64_69_85_36_
09:41:56,-,-,9738,26.3500_26.4000_26.4500_26.5000_26.5500_,26_3_12_38_9_,26.3000_26.2500_26.2000_26.1500_26.1000_,17_26_70_21_110_
09:43:57,-,-,9886,26.2500_26.3000_26.3500_26.4000_26.4500_,22_22_14_15_14_,26.2000_26.1500_26.1000_26.0500_26.0000_,40_29_96_150_286_
09:44:52,-,-,10061,26.2000_26.2500_26.3000_26.3500_26.4000_,45_40_21_15_12_,26.1000_26.0500_26.0000_25.9500_25.9000_,92_138_273_22_45_
09:44:52,-,-,10061,26.2000_26.2500_26.3000_26.3500_26.4000_,45_40_21_15_12_,26.1000_26.0500_26.0000_25.9500_25.9000_,92_138_273_22_45_
09:46:52,-,-,10283,26.3500_26.4000_26.4500_26.5000_26.5500_,9_14_8_75_12_,26.3000_26.2500_26.2000_26.1500_26.1000_,10_15_36_54_82_
