08:59:57,-,-,0,32.8500_32.9000_32.9500_33.0000_33.0500_,22_50_72_113_21_,32.8000_32.7500_32.7000_32.6500_32.6000_,5_41_16_21_114_
09:00:56,-,-,1455,32.5000_32.5500_32.6000_32.6500_32.7000_,1_9_35_18_18_,32.4000_32.3500_32.3000_32.2500_32.2000_,4_59_25_17_33_
09:01:56,-,-,2437,32.6500_32.7000_32.7500_32.8000_32.8500_,2_52_16_3_29_,32.6000_32.5500_32.5000_32.4500_32.4000_,2_16_39_5_25_
09:01:56,-,-,2437,32.6500_32.7000_32.7500_32.8000_32.8500_,2_52_16_3_29_,32.6000_32.5500_32.5000_32.4500_32.4000_,2_16_39_5_25_
09:03:56,-,-,3255,32.7500_32.8000_32.8500_32.9000_32.9500_,1_10_41_61_83_,32.7000_32.6500_32.6000_32.5500_32.5000_,46_55_79_68_91_
09:04:51,32.6000,3,4005,32.6000_32.6500_32.7000_32.7500_32.8000_,18_3_25_10_14_,32.5500_32.5000_32.4500_32.4000_32.3500_,39_84_47_65_51_
09:04:51,32.6000,3,4005,32.6000_32.6500_32.7000_32.7500_32.8000_,18_3_25_10_14_,32.5500_32.5000_32.4500_32.4000_32.3500_,39_84_47_65_51_
09:06:56,-,-,5037,32.5500_32.6000_32.7000_32.7500_32.8000_,1_38_6_39_43_,32.5000_32.4500_32.4000_32.3500_32.3000_,72_50_159_66_60_
09:07:56,-,-,5266,32.6000_32.6500_32.7000_32.7500_32.8000_,14_7_15_15_30_,32.5000_32.4500_32.4000_32.3500_32.3000_,93_62_165_68_70_
09:07:56,-,-,5266,32.6000_32.6500_32.7000_32.7500_32.8000_,14_7_15_15_30_,32.5000_32.4500_32.4000_32.3500_32.3000_,93_62_165_68_70_
09:09:51,-,-,6093,32.3500_32.4000_32.4500_32.5000_32.5500_,31_65_20_7_8_,32.2500_32.2000_32.1500_32.1000_32.0500_,47_143_81_88_34_
09:10:51,-,-,6840,32.2000_32.2500_32.3000_32.3500_32.4000_,5_7_6_29_51_,32.1500_32.1000_32.0500_32.0000_31.9500_,1_89_28_283_23_
09:10:51,-,-,6840,32.2000_32.2500_32.3000_32.3500_32.4000_,5_7_6_29_51_,32.1500_32.1000_32.0500_32.0000_31.9500_,1_89_28_283_23_
