08:59:58,-,-,0,20.4000_20.4500_20.5000_20.5500_20.6000_,73_387_858_528_755_,20.3500_20.3000_20.2500_20.2000_20.1500_,8_47_400_353_412_
09:00:51,-,-,1283,20.2500_20.3000_20.3500_20.4000_20.4500_,302_681_116_419_416_,20.2000_20.1500_20.1000_20.0500_20.0000_,403_491_632_979_1634_
09:01:56,-,-,1309,20.2500_20.3000_20.3500_20.4000_20.4500_,140_813_303_417_417_,20.2000_20.1500_20.1000_20.0500_20.0000_,520_519_740_1057_1639_
09:01:56,-,-,1309,20.2500_20.3000_20.3500_20.4000_20.4500_,140_813_303_417_417_,20.2000_20.1500_20.1000_20.0500_20.0000_,520_519_740_1057_1639_
09:03:51,-,-,1488,20.2500_20.3000_20.3500_20.4000_20.4500_,87_311_312_421_416_,20.2000_20.1500_20.1000_20.0500_20.0000_,643_518_870_1056_1675_
09:04:49,20.2500,1,1514,20.2500_20.3000_20.3500_20.4000_20.4500_,84_296_314_421_437_,20.2000_20.1500_20.1000_20.0500_20.0000_,650_518_871_1058_1681_
09:04:49,20.2500,1,1514,20.2500_20.3000_20.3500_20.4000_20.4500_,84_296_314_421_437_,20.2000_20.1500_20.1000_20.0500_20.0000_,650_518_871_1058_1681_
09:06:47,-,-,1539,20.2500_20.3000_20.3500_20.4000_20.4500_,454_294_317_425_441_,20.2000_20.1500_20.1000_20.0500_20.0000_,658_524_941_1298_1682_
09:07:59,-,-,2222,20.2000_20.2500_20.3000_20.3500_20.4000_,394_359_977_301_421_,20.1500_20.1000_20.0500_20.0000_19.9500_,461_915_901_1653_793_
09:07:59,-,-,2222,20.2000_20.2500_20.3000_20.3500_20.4000_,394_359_977_301_421_,20.1500_20.1000_20.0500_20.0000_19.9500_,461_915_901_1653_793_
09:09:56,-,-,2290,20.2000_20.2500_20.3000_20.3500_20.4000_,274_763_479_322_413_,20.1500_20.1000_20.0500_20.0000_19.9500_,522_994_935_1667_818_
09:10:55,-,-,2331,20.2000_20.2500_20.3000_20.3500_20.4000_,269_760_479_327_414_,20.1500_20.1000_20.0500_20.0000_19.9500_,561_1008_954_1688_819_
09:10:55,-,-,2331,20.2000_20.2500_20.3000_20.3500_20.4000_,269_760_479_327_414_,20.1500_20.1000_20.0500_20.0000_19.9500_,561_1008_954_1688_819_
09:12:51,-,-,2463,20.2000_20.2500_20.3000_20.3500_20.4000_,260_768_531_330_414_,20.1500_20.1000_20.0500_20.0000_19.9500_,523_1036_981_1708_858_
09:12:51,-,-,2463,20.2000_20.2500_20.3000_20.3500_20.4000_,260_768_531_330_414_,20.1500_20.1000_20.0500_20.0000_19.9500_,523_1036_981_1708_858_
09:14:55,-,-,2499,20.2000_20.2500_20.3000_20.3500_20.4000_,301_766_535_331_420_,20.1500_20.1000_20.0500_20.0000_19.9500_,603_1056_814_1740_871_
09:15:53,-,-,2516,20.2000_20.2500_20.3000_20.3500_20.4000_,298_762_535_357_420_,20.1500_20.1000_20.0500_20.0000_19.9500_,645_1093_956_1779_885_
09:16:51,20.1500,1,2776,20.2000_20.2500_20.3000_20.3500_20.4000_,655_758_535_362_420_,20.1500_20.1000_20.0500_20.0000_19.9500_,548_1114_956_1776_890_
09:16:51,20.1500,1,2776,20.2000_20.2500_20.3000_20.3500_20.4000_,655_758_535_362_420_,20.1500_20.1000_20.0500_20.0000_19.9500_,548_1114_956_1776_890_
09:18:56,-,-,2885,20.2000_20.2500_20.3000_20.3500_20.4000_,701_760_538_365_421_,20.1500_20.1000_20.0500_20.0000_19.9500_,568_862_960_1778_887_
09:19:55,-,-,2908,20.2000_20.2500_20.3000_20.3500_20.4000_,725_763_540_365_419_,20.1500_20.1000_20.0500_20.0000_19.9500_,580_938_1172_1785_891_
09:20:55,-,-,2921,20.2000_20.2500_20.3000_20.3500_20.4000_,789_766_540_366_434_,20.1500_20.1000_20.0500_20.0000_19.9500_,635_951_1183_1781_903_
09:19:55,-,-,2908,20.2000_20.2500_20.3000_20.3500_20.4000_,725_763_540_365_419_,20.1500_20.1000_20.0500_20.0000_19.9500_,580_938_1172_1785_891_
09:22:53,-,-,2945,20.2000_20.2500_20.3000_20.3500_20.4000_,773_808_560_369_484_,20.1500_20.1000_20.0500_20.0000_19.9500_,841_958_1184_1790_911_
09:22:53,-,-,2945,20.2000_20.2500_20.3000_20.3500_20.4000_,773_808_560_369_484_,20.1500_20.1000_20.0500_20.0000_19.9500_,841_958_1184_1790_911_
09:24:55,-,-,3073,20.2000_20.2500_20.3000_20.3500_20.4000_,738_808_563_370_489_,20.1500_20.1000_20.0500_20.0000_19.9500_,810_944_1185_1778_912_
09:24:55,-,-,3073,20.2000_20.2500_20.3000_20.3500_20.4000_,738_808_563_370_489_,20.1500_20.1000_20.0500_20.0000_19.9500_,810_944_1185_1778_912_
09:26:50,-,-,3142,20.2000_20.2500_20.3000_20.3500_20.4000_,754_814_566_371_500_,20.1500_20.1000_20.0500_20.0000_19.9500_,869_1069_1086_1776_919_
09:26:50,-,-,3142,20.2000_20.2500_20.3000_20.3500_20.4000_,754_814_566_371_500_,20.1500_20.1000_20.0500_20.0000_19.9500_,869_1069_1086_1776_919_
09:27:52,-,-,3154,20.2000_20.2500_20.3000_20.3500_20.4000_,790_814_571_371_500_,20.1500_20.1000_20.0500_20.0000_19.9500_,935_1077_1079_1781_924_
09:29:56,20.2000,3,3194,20.2000_20.2500_20.3000_20.3500_20.4000_,857_757_575_420_501_,20.1500_20.1000_20.0500_20.0000_19.9500_,988_1087_1079_1787_926_
09:30:54,-,-,3224,20.2000_20.2500_20.3000_20.3500_20.4000_,861_758_604_419_511_,20.1500_20.1000_20.0500_20.0000_19.9500_,1032_1103_1068_1781_926_
09:31:55,20.2000,3,3247,20.2000_20.2500_20.3000_20.3500_20.4000_,844_755_604_419_511_,20.1500_20.1000_20.0500_20.0000_19.9500_,1041_1114_1071_1803_927_
09:32:55,-,-,3296,20.2000_20.2500_20.3000_20.3500_20.4000_,597_756_604_419_511_,20.1500_20.1000_20.0500_20.0000_19.9500_,1064_1115_1072_1806_953_
09:33:54,-,-,3382,20.2000_20.2500_20.3000_20.3500_20.4000_,720_856_653_468_511_,20.1500_20.1000_20.0500_20.0000_19.9500_,1036_1124_1066_1809_958_
09:34:55,20.1500,2,3444,20.2000_20.2500_20.3000_20.3500_20.4000_,1022_856_653_470_513_,20.1500_20.1000_20.0500_20.0000_19.9500_,932_1049_1066_1813_958_
09:35:56,-,-,3469,20.2000_20.2500_20.3000_20.3500_20.4000_,1034_857_656_469_512_,20.1500_20.1000_20.0500_20.0000_19.9500_,968_1145_1071_1812_958_
09:36:56,-,-,3506,20.2000_20.2500_20.3000_20.3500_20.4000_,1050_865_656_469_498_,20.1500_20.1000_20.0500_20.0000_19.9500_,979_1033_1071_1814_959_
09:35:56,-,-,3469,20.2000_20.2500_20.3000_20.3500_20.4000_,1034_857_656_469_512_,20.1500_20.1000_20.0500_20.0000_19.9500_,968_1145_1071_1812_958_
09:38:56,-,-,5880,20.1000_20.1500_20.2000_20.2500_20.3000_,499_682_1124_807_692_,20.0500_20.0000_19.9500_19.9000_19.8500_,770_1622_776_1089_222_
09:38:56,-,-,5880,20.1000_20.1500_20.2000_20.2500_20.3000_,499_682_1124_807_692_,20.0500_20.0000_19.9500_19.9000_19.8500_,770_1622_776_1089_222_
